Trial,Num_Cat,word,category,Trial_Cats,Trial_File,Rdy_Msg,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_2.started,text_2.stopped,Stim_Word.started,Stim_Word.stopped,Categories.started,Categories.stopped,Trial_Name.started,Trial_Name.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,3,Aluminum,Metals,Distances  Metals  Relatives,,,0,0,0,0,,,,,,,,,10.359578556000997,None,11.47811328699936,None,13.037350313999923,None,13.037350313999923,None,,,,,1,001,2019_Jul_30_1403,KTT,3.1.5,60.21551699526134,
1,3,Iron,Metals,Distances  Metals  Relatives,,,0,1,1,1,,,,,,,,,,,,,14.524612020999484,None,14.524612020999484,None,,,,,1,001,2019_Jul_30_1403,KTT,3.1.5,60.21551699526134,
1,3,Aunt,Relatives,Distances  Metals  Relatives,,,0,2,2,2,,,,,,,,,,,,,16.02272663199983,None,16.02272663199983,None,,,,,1,001,2019_Jul_30_1403,KTT,3.1.5,60.21551699526134,
1,3,Father,Relatives,Distances  Metals  Relatives,,,0,3,3,3,,,,,,,,,,,,,17.523502825999458,None,17.523502825999458,None,,,,,1,001,2019_Jul_30_1403,KTT,3.1.5,60.21551699526134,
1,3,Daughter,Relatives,Distances  Metals  Relatives,,,0,4,4,4,,,,,,,,,,,,,19.02306302800025,None,19.02306302800025,None,,,,,1,001,2019_Jul_30_1403,KTT,3.1.5,60.21551699526134,
1,3,Father,Relatives,Distances  Metals  Relatives,,,0,5,5,5,,,,,,,,,,,,,20.53738671300016,None,20.53738671300016,None,,,,,1,001,2019_Jul_30_1403,KTT,3.1.5,60.21551699526134,
1,3,Inches,Distances,Distances  Metals  Relatives,,,0,6,6,6,,,,,,,,,,,,,22.02481618499951,None,22.02481618499951,None,,,,,1,001,2019_Jul_30_1403,KTT,3.1.5,60.21551699526134,
1,3,Daughter,Relatives,Distances  Metals  Relatives,,,0,7,7,7,,,,,,,,,,,,,23.525044862999493,None,23.525044862999493,None,,,,,1,001,2019_Jul_30_1403,KTT,3.1.5,60.21551699526134,
1,3,Miles,Distances,Distances  Metals  Relatives,,,0,8,8,8,,,,,,,,,,,,,25.03698513299969,None,25.03698513299969,None,,,,,1,001,2019_Jul_30_1403,KTT,3.1.5,60.21551699526134,
1,3,Aluminum,Metals,Distances  Metals  Relatives,,,0,9,9,9,,,,,,,,,,,,,26.5219900409993,None,26.5219900409993,None,,,,,1,001,2019_Jul_30_1403,KTT,3.1.5,60.21551699526134,
1,3,Iron,Metals,Distances  Metals  Relatives,,,0,10,10,10,,,,,,,,,,,,,28.021217878000243,None,28.021217878000243,None,,,,,1,001,2019_Jul_30_1403,KTT,3.1.5,60.21551699526134,
1,3,Aunt,Relatives,Distances  Metals  Relatives,,,0,11,11,11,,,,,,,,,,,,,29.521320658999684,None,29.521320658999684,None,,,,,1,001,2019_Jul_30_1403,KTT,3.1.5,60.21551699526134,
2,4,Red,Colors,Colors  Countries  Distances  Metals,,,0,12,12,12,,,,,,,,,,,,,31.02136190999954,None,31.02136190999954,None,,,,,1,001,2019_Jul_30_1403,KTT,3.1.5,60.21551699526134,
,,Miles,Distances,Distances  Metals  Relatives,Trial1.csv,Trial 1,,,,,0,0,0,0,0,0,0,0,,,,,38.62068939399978,None,38.62068939399978,None,35.70803074200012,None,35.70803074200012,36.35619481899994,1,001,2019_Jul_30_1403,KTT,3.1.5,60.21551699526134,
