word,category,Trial_Cats,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Miles,Distances,Distances  Metals  Relatives,0,0,0,0,,,,001,2019_Nov_19_1642,KTT,3.2.3,59.99858403322121,
Inches,Distances,Distances  Metals  Relatives,0,1,1,1,,,,001,2019_Nov_19_1642,KTT,3.2.3,59.99858403322121,
Aluminum,Metals,Distances  Metals  Relatives,0,2,2,2,,,,001,2019_Nov_19_1642,KTT,3.2.3,59.99858403322121,
Iron,Metals,Distances  Metals  Relatives,0,3,3,3,,,,001,2019_Nov_19_1642,KTT,3.2.3,59.99858403322121,
Aunt,Relatives,Distances  Metals  Relatives,0,4,4,4,,,,001,2019_Nov_19_1642,KTT,3.2.3,59.99858403322121,
Father,Relatives,Distances  Metals  Relatives,0,5,5,5,,,,001,2019_Nov_19_1642,KTT,3.2.3,59.99858403322121,
Daughter,Relatives,Distances  Metals  Relatives,0,6,6,6,,,,001,2019_Nov_19_1642,KTT,3.2.3,59.99858403322121,
Father,Relatives,Distances  Metals  Relatives,0,7,7,7,,,,001,2019_Nov_19_1642,KTT,3.2.3,59.99858403322121,
Inches,Distances,Distances  Metals  Relatives,0,8,8,8,,,,001,2019_Nov_19_1642,KTT,3.2.3,59.99858403322121,
Daughter,Relatives,Distances  Metals  Relatives,0,9,9,9,,,,001,2019_Nov_19_1642,KTT,3.2.3,59.99858403322121,
Miles,Distances,Distances  Metals  Relatives,0,10,10,10,,,,001,2019_Nov_19_1642,KTT,3.2.3,59.99858403322121,
Aluminum,Metals,Distances  Metals  Relatives,0,11,11,11,,,,001,2019_Nov_19_1642,KTT,3.2.3,59.99858403322121,
Iron,Metals,Distances  Metals  Relatives,0,12,12,12,,,,001,2019_Nov_19_1642,KTT,3.2.3,59.99858403322121,
Aunt,Relatives,Distances  Metals  Relatives,0,13,13,13,,,,001,2019_Nov_19_1642,KTT,3.2.3,59.99858403322121,
,,,,,,,42.36292930000036,None,,,,,,,
